epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
129,40473.1,0.60807,0.51016,1.1786,0.87835,0.8673,0.89466,0.70938,0.76531,0.63665,1.4173,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
130,40787.9,0.60002,0.50493,1.17689,0.87753,0.8682,0.89453,0.70933,0.76474,0.63739,1.41697,0.0086169,0.0028723,0.0086169,0.0028723,0.0086169,0.0028723,0.0086169,0.0028723
131,41101.7,0.59871,0.50422,1.17054,0.87821,0.86772,0.89463,0.70957,0.76434,0.6373,1.41675,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
132,41416.8,0.59686,0.50422,1.17339,0.87729,0.86791,0.89455,0.70983,0.76406,0.6371,1.41684,0.00820124,0.00273375,0.00820124,0.00273375,0.00820124,0.00273375,0.00820124,0.00273375
133,41730.7,0.58252,0.49091,1.1618,0.87777,0.8678,0.89488,0.70983,0.76363,0.63747,1.41658,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
134,42044.7,0.58564,0.49005,1.16432,0.87617,0.86909,0.89447,0.70987,0.76342,0.63786,1.41663,0.00779244,0.00259748,0.00779244,0.00259748,0.00779244,0.00259748,0.00779244,0.00259748
135,42358.1,0.58552,0.48425,1.16635,0.87656,0.8705,0.8945,0.70991,0.76314,0.63805,1.41647,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
136,42672.2,0.58727,0.49203,1.16338,0.8755,0.87067,0.89446,0.70998,0.76283,0.6385,1.4163,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363
137,42984.6,0.57905,0.4858,1.15867,0.87419,0.87082,0.89446,0.71041,0.7623,0.63857,1.41612,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
138,43296.6,0.58285,0.491,1.16292,0.87641,0.86907,0.89445,0.71016,0.76211,0.63932,1.41645,0.00699701,0.00233234,0.00699701,0.00233234,0.00699701,0.00233234,0.00699701,0.00233234
139,43607.4,0.57335,0.48577,1.15442,0.8764,0.86916,0.89447,0.7099,0.7617,0.63928,1.41634,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
140,43918.5,0.57345,0.4781,1.15405,0.87535,0.86862,0.89367,0.71024,0.76148,0.63957,1.41647,0.00661117,0.00220372,0.00661117,0.00220372,0.00661117,0.00220372,0.00661117,0.00220372
141,44230,0.56932,0.47358,1.1532,0.87495,0.8692,0.89372,0.71012,0.76121,0.64034,1.4164,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
142,44541,0.56353,0.47697,1.14901,0.87507,0.86877,0.89272,0.71011,0.76095,0.64022,1.41615,0.00623376,0.00207792,0.00623376,0.00207792,0.00623376,0.00207792,0.00623376,0.00207792
143,44851.6,0.56355,0.47354,1.14879,0.87647,0.8676,0.8927,0.71027,0.76068,0.6406,1.41618,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
144,45162.2,0.56041,0.46772,1.14589,0.87604,0.86831,0.892,0.7104,0.76035,0.64055,1.4162,0.00586515,0.00195505,0.00586515,0.00195505,0.00586515,0.00195505,0.00586515,0.00195505
145,45474.4,0.56109,0.4636,1.14621,0.87451,0.86857,0.89189,0.71023,0.76027,0.64085,1.41628,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
146,45785.8,0.54855,0.46083,1.1378,0.87428,0.86898,0.89192,0.71066,0.75998,0.64126,1.41645,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523
147,46098.1,0.54918,0.46257,1.13851,0.87395,0.86931,0.89202,0.71067,0.75956,0.641,1.41642,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
148,46411.1,0.55049,0.45938,1.1386,0.87234,0.87024,0.89174,0.71027,0.75935,0.64142,1.41643,0.00515576,0.00171859,0.00515576,0.00171859,0.00515576,0.00171859,0.00515576,0.00171859
149,46722.7,0.54661,0.44986,1.13541,0.87156,0.87157,0.89172,0.71037,0.75927,0.64179,1.41684,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
150,47033,0.54592,0.45006,1.12978,0.87371,0.87099,0.89164,0.71061,0.75902,0.64176,1.41695,0.00481569,0.00160523,0.00481569,0.00160523,0.00481569,0.00160523,0.00481569,0.00160523
151,47344.5,0.54021,0.44502,1.13405,0.87513,0.8709,0.89171,0.7107,0.75901,0.64183,1.41724,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
152,47656.6,0.53915,0.44327,1.13131,0.87626,0.8703,0.89138,0.7102,0.75896,0.64199,1.41747,0.00448582,0.00149527,0.00448582,0.00149527,0.00448582,0.00149527,0.00448582,0.00149527
153,47967.8,0.53524,0.44494,1.12805,0.87708,0.86906,0.89135,0.71034,0.75888,0.64237,1.41761,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
154,48281.4,0.52821,0.44515,1.12563,0.87685,0.86901,0.89151,0.71027,0.75885,0.64327,1.4179,0.00416648,0.00138883,0.00416648,0.00138883,0.00416648,0.00138883,0.00416648,0.00138883
155,48593.3,0.53049,0.43629,1.12222,0.87764,0.86896,0.89141,0.7106,0.75868,0.64337,1.41801,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695
156,48905.3,0.52738,0.43542,1.12123,0.8772,0.86905,0.89143,0.71052,0.75827,0.64324,1.41793,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599
157,49216.1,0.5257,0.43641,1.12068,0.87718,0.86925,0.89119,0.7108,0.7579,0.64314,1.41812,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
158,49528.7,0.52104,0.4315,1.11556,0.87653,0.86889,0.8911,0.71098,0.75782,0.64335,1.41843,0.00356061,0.00118687,0.00356061,0.00118687,0.00356061,0.00118687,0.00356061,0.00118687
159,49839.9,0.51352,0.42617,1.11327,0.87693,0.86881,0.89103,0.71091,0.75817,0.6437,1.41897,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873
160,50152.4,0.51847,0.42602,1.11397,0.87722,0.86762,0.89097,0.71109,0.75815,0.6437,1.41936,0.00327468,0.00109156,0.00327468,0.00109156,0.00327468,0.00109156,0.00327468,0.00109156
161,50464,0.51847,0.42691,1.11176,0.87885,0.86681,0.89088,0.71092,0.75798,0.64391,1.41951,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
162,50776.7,0.50998,0.42607,1.11002,0.87815,0.86764,0.89094,0.71134,0.75765,0.64422,1.41937,0.00300048,0.00100016,0.00300048,0.00100016,0.00300048,0.00100016,0.00300048,0.00100016
163,51088,0.5134,0.42406,1.11323,0.87804,0.86676,0.88977,0.71086,0.75752,0.64508,1.41948,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951
164,51398.3,0.50966,0.42101,1.11019,0.87756,0.866,0.88917,0.71112,0.75747,0.64575,1.41965,0.00273826,0.000912754,0.00273826,0.000912754,0.00273826,0.000912754,0.00273826,0.000912754
165,51710.3,0.50668,0.41669,1.1073,0.87631,0.86698,0.88938,0.71154,0.75721,0.64603,1.41959,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
166,52024.4,0.50629,0.41561,1.1068,0.87608,0.86796,0.88937,0.71149,0.75714,0.64667,1.41974,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431
167,52336.9,0.50234,0.41187,1.104,0.87581,0.86851,0.88945,0.71144,0.75685,0.64666,1.41989,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327
168,52650.2,0.5003,0.40742,1.10275,0.87627,0.86842,0.88945,0.71104,0.75662,0.64755,1.42002,0.00225082,0.000750274,0.00225082,0.000750274,0.00225082,0.000750274,0.00225082,0.000750274
169,52962.7,0.49715,0.41155,1.1025,0.87586,0.86828,0.88922,0.71069,0.75643,0.64832,1.42014,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
170,53274.6,0.49959,0.41145,1.10159,0.87606,0.86878,0.88925,0.7112,0.75606,0.64842,1.42008,0.00202608,0.00067536,0.00202608,0.00067536,0.00202608,0.00067536,0.00202608,0.00067536
171,53585.8,0.49963,0.41014,1.10236,0.87597,0.86903,0.88885,0.7109,0.75603,0.6487,1.42024,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
172,53898.8,0.49256,0.40491,1.09955,0.87633,0.86889,0.88864,0.71084,0.75623,0.64925,1.42097,0.00181429,0.000604763,0.00181429,0.000604763,0.00181429,0.000604763,0.00181429,0.000604763
173,54210.5,0.49031,0.40185,1.09683,0.87671,0.86762,0.8884,0.71051,0.75625,0.64995,1.42127,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
174,54523.5,0.48954,0.40325,1.09589,0.87642,0.86851,0.88842,0.71069,0.75599,0.65032,1.42152,0.00161566,0.000538554,0.00161566,0.000538554,0.00161566,0.000538554,0.00161566,0.000538554
175,54835.3,0.49108,0.39843,1.09803,0.87615,0.86844,0.88873,0.71089,0.75592,0.65079,1.42185,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115
176,55146.5,0.48807,0.40438,1.09657,0.87685,0.86809,0.88822,0.71041,0.7558,0.65134,1.42217,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796
177,55459.9,0.48479,0.39882,1.0947,0.87705,0.86825,0.8881,0.71065,0.75572,0.65161,1.42254,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
178,55771.7,0.49127,0.40067,1.099,0.87745,0.86814,0.8881,0.71026,0.75568,0.65238,1.42287,0.00125866,0.000419552,0.00125866,0.000419552,0.00125866,0.000419552,0.00125866,0.000419552
179,56083.6,0.48882,0.40055,1.09615,0.87749,0.86753,0.88802,0.71044,0.75568,0.65305,1.42333,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264
180,56394.6,0.48463,0.39434,1.093,0.87624,0.86796,0.88786,0.70973,0.75548,0.6534,1.42338,0.00110063,0.000366877,0.00110063,0.000366877,0.00110063,0.000366877,0.00110063,0.000366877
181,56707,0.4807,0.39746,1.09097,0.87701,0.86803,0.88728,0.70965,0.75529,0.65425,1.42342,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
182,57018.6,0.4818,0.3979,1.09101,0.87722,0.86791,0.88629,0.70871,0.75527,0.65515,1.42381,0.000956474,0.000318825,0.000956474,0.000318825,0.000956474,0.000318825,0.000956474,0.000318825
183,57329.7,0.48199,0.39863,1.0912,0.87698,0.86841,0.88645,0.70881,0.75503,0.65565,1.42389,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546
184,57641.9,0.48085,0.39256,1.08901,0.87696,0.86811,0.88636,0.70919,0.75505,0.65648,1.42433,0.000826322,0.000275441,0.000826322,0.000275441,0.000826322,0.000275441,0.000826322,0.000275441
185,57954.6,0.48055,0.39498,1.09121,0.87713,0.86798,0.88634,0.70897,0.75506,0.65711,1.42485,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
186,58266.8,0.47828,0.38933,1.08908,0.87727,0.86815,0.88634,0.70876,0.75474,0.65746,1.42503,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769
187,58578.2,0.47867,0.39087,1.08783,0.87632,0.86871,0.8861,0.70841,0.75469,0.65822,1.42539,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212
188,58891.4,0.47901,0.3913,1.08806,0.87662,0.86838,0.88605,0.70814,0.75464,0.65892,1.42585,0.000608541,0.000202847,0.000608541,0.000202847,0.000608541,0.000202847,0.000608541,0.000202847
189,59203.7,0.47127,0.38725,1.08597,0.87745,0.86828,0.88602,0.70842,0.75456,0.65903,1.42619,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
190,59516.2,0.47269,0.38736,1.08581,0.87743,0.86847,0.88574,0.70819,0.7543,0.65953,1.42646,0.000521127,0.000173709,0.000521127,0.000173709,0.000521127,0.000173709,0.000521127,0.000173709
191,59845.3,0.40326,0.29108,0.9927,0.87765,0.86814,0.88486,0.70836,0.75434,0.65893,1.42686,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
192,60159.7,0.3949,0.28393,0.98227,0.87733,0.86858,0.88476,0.70815,0.75429,0.6592,1.42746,0.000448149,0.000149383,0.000448149,0.000149383,0.000448149,0.000149383,0.000448149,0.000149383
193,60466.9,0.39579,0.28438,0.98679,0.87723,0.86867,0.88464,0.70815,0.75428,0.65951,1.42787,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
194,60774.5,0.39191,0.27969,0.98405,0.87705,0.86862,0.88391,0.70765,0.75437,0.65987,1.4286,0.00038968,0.000129893,0.00038968,0.000129893,0.00038968,0.000129893,0.00038968,0.000129893
195,61082.2,0.3928,0.27909,0.98222,0.87716,0.86862,0.88393,0.70756,0.75421,0.65979,1.42902,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968
196,61388.8,0.38896,0.2773,0.97922,0.87757,0.86758,0.88384,0.70731,0.75445,0.66056,1.42963,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259
197,61695.1,0.38698,0.27711,0.9811,0.87795,0.86642,0.88315,0.70729,0.75429,0.66107,1.43011,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
198,62002,0.38278,0.27696,0.97725,0.87594,0.86824,0.88323,0.70732,0.75427,0.66113,1.43071,0.000316485,0.000105495,0.000316485,0.000105495,0.000316485,0.000105495,0.000316485,0.000105495
199,62307.3,0.38572,0.27721,0.97831,0.8753,0.86784,0.88309,0.70653,0.75445,0.66159,1.43146,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443
200,62621.6,0.38691,0.27535,0.97915,0.87405,0.86805,0.88302,0.70662,0.75443,0.66163,1.43201,0.000301832,0.000100611,0.000301832,0.000100611,0.000301832,0.000100611,0.000301832,0.000100611
