epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,9473.75,0.92487,0.90606,1.44697,0.87759,0.81266,0.86693,0.64043,0.9378,0.71917,1.57741,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
31,9785.83,0.92717,0.89773,1.44358,0.86807,0.82247,0.86827,0.64326,0.93337,0.72665,1.57413,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
32,10098,0.92133,0.88482,1.4407,0.87229,0.81765,0.86759,0.64623,0.92503,0.72101,1.56088,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464
33,10409.2,0.9087,0.88014,1.433,0.86216,0.8322,0.87206,0.65254,0.915,0.71362,1.54337,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
34,10721.1,0.90359,0.86198,1.42501,0.8761,0.82902,0.8751,0.656,0.91376,0.69305,1.54517,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973
35,11032.5,0.90738,0.87045,1.42846,0.87452,0.82752,0.87298,0.65425,0.90722,0.68468,1.54639,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
36,11344.1,0.89191,0.85168,1.41673,0.87787,0.82919,0.87927,0.66316,0.89757,0.68555,1.527,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
37,11655.7,0.90116,0.85261,1.42129,0.87703,0.83701,0.88164,0.6658,0.89181,0.66618,1.52677,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
38,11968.8,0.88807,0.84672,1.40979,0.88245,0.82759,0.87834,0.66337,0.88292,0.67063,1.51279,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725
39,12279.7,0.87913,0.83488,1.40591,0.86832,0.83087,0.87732,0.66837,0.87589,0.66773,1.50981,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
